시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP2-4.5,2062,35.1,46.7,135.2,8.5,299.3,81.1,66.8,40.4,82.3,38.2,29.8
SSP2-4.5,2063,31,44,129,8.5,298.5,83.5,64.6,46.8,77.2,36.9,29.4
SSP2-4.5,2064,21.7,30.1,143.2,8.5,308.5,74.9,54.5,30.4,64.5,37.6,29.3
SSP2-4.5,2065,42.6,54.5,138.3,8.5,288.3,86,72.2,48.9,81.9,39.8,31.1
SSP2-4.5,2066,34.9,35.9,153.1,8.8,289.6,87.3,67.1,39.2,76.8,37.6,29.7
SSP2-4.5,2067,35,44.9,139.2,8.4,279.5,90.9,70,50.2,85.5,37.6,29.7
SSP2-4.5,2068,39,42.1,147.7,8.5,303.1,85.3,75.2,53,79,38.2,30.2
SSP2-4.5,2069,30.5,27.9,148.4,8.7,303.8,84.9,65.2,43.3,72.6,37.5,28.8
SSP2-4.5,2070,39.7,52.1,158.5,8.4,296.7,98.1,78.3,51.9,87.9,37.6,29.9
SSP2-4.5,2071,24.7,38.8,134.5,8.2,255.5,75.4,59.7,36,76.3,36.9,29
SSP2-4.5,2072,50.1,60,147.6,8.5,287.8,104.1,91.5,54.3,96.3,38.6,30.6
SSP2-4.5,2073,38.1,45.8,135.3,8.4,289.9,81.3,70.8,49.2,84.7,37.5,29.9
SSP2-4.5,2074,41.8,47.7,143.1,8.7,290.4,91.3,76.1,50.6,83.3,40.7,31.7
SSP2-4.5,2075,48.3,56.9,151.8,8.7,282.9,91.2,84.7,58.3,84.4,38.8,30.1
SSP2-4.5,2076,21.3,28.6,137.2,8.6,288.7,64.6,42.3,27.5,56.6,37.6,29.5
SSP2-4.5,2077,36.1,47.5,139.5,8.6,306.2,78.1,62,51.3,77.5,37.6,30.2
SSP2-4.5,2078,42.1,43.4,143.1,8.6,303.1,94.6,72.7,55.3,82.1,38.2,30.5
SSP2-4.5,2079,34.4,44.8,144.1,8.5,290.8,82.4,65,45.5,75.4,39.2,29.7
SSP2-4.5,2080,26,35.4,142.9,8.4,297.3,73.1,55.4,32.3,73.8,38.5,30.5
SSP2-4.5,2081,24,33.1,146.9,8.5,293.8,86.7,70.4,31.2,79.2,36.2,28.4
SSP2-4.5,2082,47.9,61.1,150.5,8.6,293.6,98.1,84.5,61.7,95.5,39.2,31.3
SSP2-4.5,2083,34,51.2,145.4,8.5,298.1,85.2,70.1,48.8,81.7,38.9,30.1
SSP2-4.5,2084,26.1,44.5,141.7,8.4,292.3,85.4,67.4,40,82.9,35.9,28.9
SSP2-4.5,2085,32.9,50.5,151.9,8.2,281.2,94.5,76.7,46,94.9,36.9,30.2
SSP2-4.5,2086,25.5,28.3,152.1,8.6,312.6,89.2,70,35.4,79,36.5,27.4
SSP2-4.5,2087,36.3,43.8,149.2,8.4,293.5,77.1,65.6,52.2,77.8,39.1,31
SSP2-4.5,2088,51.2,58.1,149.7,8.7,298.8,95.8,84.1,55.2,87.5,39.7,30.9
SSP2-4.5,2089,43.7,55.8,159,8.4,305.3,107,90.1,53.5,91.6,38.1,30.1
SSP2-4.5,2090,45.4,53.7,155.1,8.4,299,98.2,78.6,55.9,82.2,39.6,31.1
SSP2-4.5,2091,45.2,55,149,8.4,296.4,85.9,74,68,82.8,39,30.7
SSP2-4.5,2092,48,51.3,146.9,8.4,300.8,98.1,84.5,59.2,87.7,38.8,30.8
SSP2-4.5,2093,50.8,56.9,160.1,8.7,307.6,109.7,92.4,61.3,91.5,38.7,30.5
SSP2-4.5,2094,44.5,55.3,146.5,8.5,280.4,100.5,82.9,55.4,89.4,37,30.1
SSP2-4.5,2095,36.7,52.3,141.2,8.3,274.9,91,77,54,92.4,37.3,29.9
SSP2-4.5,2096,46.2,53.4,154.5,8.6,309.5,99.9,85.6,60.3,91,39.2,30.6
SSP2-4.5,2097,39,55.7,143.9,8.3,297.8,85.5,70.6,42.7,86.5,38,30.2
SSP2-4.5,2098,40.3,49.2,141.3,8.6,290.4,91.8,73.1,54.2,83,37.4,30.8
SSP2-4.5,2099,48.2,55.2,148.8,8.5,294.2,100.1,83.9,53.4,93.2,40.2,31.6
SSP2-4.5,2100,55.8,64.9,158.9,8.8,296.7,109.4,97.6,80.5,93.1,38.8,30.5
SSP3-7.0,2021,13.3,17.8,118.1,8.4,283.4,57.8,36.9,25.5,62,35.4,27.7
SSP3-7.0,2022,7.8,14.9,113.4,8.4,273.5,50.8,28.8,14.5,60.2,34.6,27.2
SSP3-7.0,2023,12.1,13,121.1,8.5,255.7,45.8,26,15.9,52.1,35.7,27.5
SSP3-7.0,2024,10.5,11.1,108.3,8.5,275.8,44.6,32.6,17.8,44.6,34.7,27.3
SSP3-7.0,2025,9.7,22.5,117,8.6,261.7,54.5,38.8,24.2,58.8,35.1,28.2
SSP3-7.0,2026,9.9,21.8,111,8.4,271.3,49.1,31.9,21.8,54.3,35.3,27.8
SSP3-7.0,2027,7.4,14.9,115.6,8.5,259.4,44.5,21.7,13.4,52.8,35.3,26.9
SSP3-7.0,2028,14.3,21,119.8,8.7,268.3,57.8,43.2,29.1,60.7,36.4,28.2
SSP3-7.0,2029,20.4,25,114.4,8.6,272.6,56,42.7,33.9,53.5,37.2,28.4
SSP3-7.0,2030,19.3,25,130,8.6,270.3,70.4,54.1,26,68,36,28.1
SSP3-7.0,2031,14.3,15.9,125.4,8.6,269.5,58,34.1,18.7,57.1,37.3,27.4
SSP3-7.0,2032,18.4,20.9,131.3,8.7,262.2,67.1,49.1,28.4,62,37.5,28.1
SSP3-7.0,2033,12.3,25.3,120.9,8.4,269.1,56.6,33.6,18.1,63.4,36.2,28.1
SSP3-7.0,2034,16.7,28,120.7,8.5,293.3,58.2,38.8,28.2,56.5,37.1,29.1
SSP3-7.0,2035,28.2,37.2,130.1,8.7,264.6,76.5,59.8,42,70.7,37.3,28.5
SSP3-7.0,2036,7.4,20.3,130.8,8.1,280.9,46.9,28.4,16.6,56,35.6,28.1
SSP3-7.0,2037,10.8,19.6,130,8.5,285.1,56,34.4,20.9,57.1,34.9,28.6
SSP3-7.0,2038,31.3,43.7,131.2,8.6,289.7,73,54.5,41.4,65.7,40,29.9
SSP3-7.0,2039,20.9,25.7,129.5,8.6,281.1,70,50.8,28.7,62.7,37.6,28.6
SSP3-7.0,2040,16.9,24,125.8,8.6,273.2,65.7,47.8,23.3,61.3,36.8,29.6
SSP3-7.0,2041,44.9,42,145.5,8.9,284.7,91.2,71.8,51,81.9,40.3,30.6
SSP3-7.0,2042,22.8,26.8,133.1,8.9,262.3,63,44.6,27.4,60.3,38.5,29.3
SSP3-7.0,2043,25.6,34,136.2,8.9,285.9,78.2,58.7,30.6,68.7,38.5,29.7
SSP3-7.0,2044,12.6,23.5,138.6,8.4,295.1,68.7,39.4,25.3,63.6,35.6,28.2
SSP3-7.0,2045,24.9,30.4,136.6,8.9,276.7,75.6,57.4,39.1,67.4,36.8,29
