시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP1-2.6,2086,32.9,38.9,153.3,9.1,323.6,67.9,51.8,34.3,70.3,38.5,28.5
SSP1-2.6,2087,23.9,39.8,134.8,9,309.8,65,53,47.7,67.7,36.7,28.1
SSP1-2.6,2088,21.6,27.2,136.9,9.2,322.9,62.3,38.9,24.2,59.3,37.2,28.1
SSP1-2.6,2089,30.6,42.9,146.3,8.7,324.7,69.3,53.4,42.4,74,38.1,29.4
SSP1-2.6,2090,40.1,55.4,145.3,8.8,332.7,83.9,68.8,57,91,38.5,29.5
SSP1-2.6,2091,15.9,26.5,152.6,9,337,61.9,34.4,20.6,72.3,36.8,27.9
SSP1-2.6,2092,34.9,50.2,151.3,9,301.7,85.3,64.5,47.1,83.5,38.1,29
SSP1-2.6,2093,10.4,23.6,144.5,8.8,324.5,61,33.7,18.8,70.8,35.4,26.9
SSP1-2.6,2094,22.1,33.9,143.9,8.7,319.4,63.6,46,31.8,76.2,37.3,28.1
SSP1-2.6,2095,16.6,21.4,135,8.7,339.5,51.2,32,20.9,58.2,37.9,28.1
SSP1-2.6,2096,10.4,15.7,131,8.8,327.4,39.2,17.7,14.4,50.8,35.7,27.7
SSP1-2.6,2097,17.5,24.9,152,8.7,343.8,62.9,37.1,20.1,72.7,35.9,27.8
SSP1-2.6,2098,19.5,28.7,143.5,8.7,338,67,48,31.2,69.8,37.9,27.8
SSP1-2.6,2099,26.4,27.1,145,9.4,327.4,75.8,57.5,38.8,70,39.1,27.9
SSP1-2.6,2100,17.9,30.3,139.1,8.7,328.4,67.8,46.1,33,71.4,36,27.8
SSP2-4.5,2021,4,4,93.3,8.7,293.7,19.9,9.6,10,23.8,34.3,26
SSP2-4.5,2022,19.2,22.9,122.2,9.1,308.9,55.5,39.5,25.8,55.5,36.2,28.1
SSP2-4.5,2023,24.3,27.8,122.9,9.2,316.2,55.3,43.3,37.9,58.2,38.3,28.1
SSP2-4.5,2024,16.7,17.6,118,8.8,302.4,49,32.4,20.7,53.4,37.3,27.2
SSP2-4.5,2025,18.1,28.5,131.2,9.2,311.5,54.9,42.1,28.2,54.2,37.3,28.2
SSP2-4.5,2026,5.3,8.5,124.8,8.9,329.9,36.1,6,6.7,49.5,35.7,26.9
SSP2-4.5,2027,14.4,24.2,136.4,8.8,298.7,60,43.8,36.6,67,35.4,27.7
